run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,heads,qdrn,mr,oname:h_otype:lst_usecol:ap1_time:2.0,oname:h_otype:lst_usecol:p23_time:2.0,oname:h_otype:lst_usecol:p24_time:2.0,oname:h_otype:lst_usecol:p25_time:2.0,oname:h_otype:lst_usecol:p26_time:2.0,oname:h_otype:lst_usecol:p27_time:2.0,oname:h_otype:lst_usecol:p28_time:2.0,oname:h_otype:lst_usecol:p29_time:2.0,oname:h_otype:lst_usecol:p30_time:2.0,oname:h_otype:lst_usecol:p32_time:2.0,oname:h_otype:lst_usecol:p33_time:2.0,oname:h_otype:lst_usecol:p34_time:2.0,oname:h_otype:lst_usecol:p37_time:2.0,oname:h_otype:lst_usecol:p38_time:2.0,oname:h_otype:lst_usecol:p39_time:2.0,oname:h_otype:lst_usecol:p40_time:2.0,oname:h_otype:lst_usecol:p8_time:2.0,oname:h_otype:lst_usecol:pf_time:2.0,oname:h_otype:lst_usecol:ph_time:2.0,oname:h_otype:lst_usecol:prg_time:2.0,oname:h_otype:lst_usecol:pzhm1_time:2.0,oname:h_otype:lst_usecol:r20_time:2.0,oname:h_otype:lst_usecol:r21_time:2.0,oname:h_otype:lst_usecol:rck1_time:2.0,oname:h_otype:lst_usecol:rck2_time:2.0,oname:q_otype:lst_usecol:bar_time:2.0,oname:q_otype:lst_usecol:gal_time:2.0,oname:mr_otype:lst_usecol:bar_time:2,oname:mr_otype:lst_usecol:gal_time:2,oname:mr_otype:lst_usecol:r20_time:2,oname:mr_otype:lst_usecol:r21_time:2
679,pname:hk_inst:0_ptype:pp_pstyle:m_x:409451.03_y:6428481.70_zone:1_2.511886E+00,0,14397592.6826256,14397592.6826256,0,13985839.9515657,406086.093522597,5666.63753731929,12.91188469,15.60694539,14.31960135,12.73968954,13.74202236,16.79443203,16.26996396,18.39774692,18.25196934,10.36526114,10.1767548,11.38382169,10.33953066,10.89825977,13.28399493,15.06271827,13.50302002,14.27188878,14.35763077,11.53378891,13.11239583,11.14383495,12.21195364,10.48818323,10.64944757,-0.93671,-1.648,0,-0.0700448955748708,0,0
680,pname:hk_inst:0_ptype:pp_pstyle:m_x:409451.03_y:6428481.70_zone:1_3.162278E+00,0,14394559.9937388,14394559.9937388,0,13983607.5490302,405289.043575077,5663.40113347084,12.91166937,15.60683336,14.31943292,12.73950302,13.74191818,16.79432938,16.26983165,18.39763861,18.2518678,10.36450693,10.17547363,11.38316261,10.33893887,10.89780942,13.28381427,15.06257194,13.50275695,14.26823919,14.35552845,11.53073254,13.11193885,11.14345639,12.21171527,10.4869764,10.64860608,-0.93623,-1.6463,0,-0.0698169576356172,0,0
681,pname:hk_inst:0_ptype:pp_pstyle:m_x:409551.03_y:6428481.70_zone:1_1.258925E+00,0,14403211.442935,14403211.442935,0,13989463.3102683,408111.910772996,5636.22189374297,12.91202729,15.60520263,14.31954565,12.73984514,13.74201984,16.79421215,16.26968658,18.39692582,18.25075577,10.36703168,10.18007958,11.38520159,10.34085968,10.89911147,13.28407672,15.06258511,13.50297768,14.27994998,14.36211898,11.54168133,13.11320438,11.14444804,12.21216674,10.49118403,10.65140336,-0.93734,-1.6526,0,-0.0678998441688604,0,0
682,pname:hk_inst:0_ptype:pp_pstyle:m_x:409551.03_y:6428481.70_zone:1_1.584893E+00,0,14396753.0764005,14396753.0764005,0,13984137.6383289,406949.167180677,5666.27089089466,12.91130858,15.60301333,14.31881941,12.73925227,13.74159783,16.79357565,16.26888211,18.39567533,18.24914504,10.36578075,10.17827474,11.38393894,10.33981867,10.89815917,13.28343578,15.06186911,13.50188604,14.27337961,14.35817441,11.53732563,13.11217419,11.1435451,12.21142564,10.48934961,10.64998676,-0.93608,-1.6504,0,-0.0700190765672895,0,0
683,pname:hk_inst:0_ptype:pp_pstyle:m_x:409551.03_y:6428481.70_zone:1_1.995262E+00,0,14390408.0060104,14390408.0060104,0,13978907.9488202,405833.335700998,5666.7214892631,12.91060119,15.60084935,14.31810359,12.73866892,13.74118208,16.79294681,16.26808764,18.39443843,18.24755129,10.36455579,10.17651077,11.38270093,10.33879873,10.89722463,13.28280476,15.06116288,13.50081036,14.26694297,14.35430824,11.53306702,13.11116242,11.14265821,12.21069642,10.4875549,10.64859938,-0.93484,-1.6483,0,-0.0700508072851619,0,0
684,pname:hk_inst:0_ptype:pp_pstyle:m_x:409551.03_y:6428481.70_zone:1_2.511886E+00,0,14384163.110912,14384163.110912,0,13973774.2681601,404727.075371399,5661.76738051713,12.90990508,15.59870941,14.317398,12.73809514,13.74077257,16.79232535,16.26730285,18.39321445,18.24597353,10.3633571,10.17478822,11.38148778,10.33780001,10.8963079,13.28218364,15.06046616,13.49975032,14.26064198,14.35052164,11.5289072,13.1101692,11.14178733,12.20997903,10.48580048,10.6472416,-0.93364,-1.6462,0,-0.0697018656109851,0,0
685,pname:hk_inst:0_ptype:pp_pstyle:m_x:409551.03_y:6428481.70_zone:1_3.162278E+00,0,14378058.4835717,14378058.4835717,0,13968736.3361229,403665.45446724,5656.692981522,12.90922021,15.59659235,14.31670245,12.73753099,13.74036919,16.79171102,16.26652741,18.39200283,18.24441083,10.36218483,10.17310744,11.38029957,10.33682257,10.89540893,13.28157238,15.05977869,13.49870562,14.25447782,14.34681539,11.52484736,13.10919462,11.14093238,12.2092734,10.48408674,10.64591364,-0.93245,-1.6442,0,-0.0693442733625192,0,0
686,pname:hk_inst:0_ptype:pp_pstyle:m_x:407851.03_y:6428381.70_zone:1_1.258925E+00,0,14401947.2983977,14401947.2983977,0,13987169.3489905,409209.664903075,5568.28450408244,12.91142975,15.60542024,14.31644681,12.74063106,13.74121307,16.77581252,16.26167523,18.39192698,18.24805592,10.36817332,10.1817858,11.38649989,10.34167033,10.89966402,13.28346171,15.05689322,13.50209745,14.28680169,14.36650344,11.54617178,13.11703877,11.14477607,12.21182492,10.49301421,10.65280717,-0.93827,-1.6548,0,-0.0630849524831576,0,0
687,pname:hk_inst:0_ptype:pp_pstyle:m_x:407851.03_y:6428381.70_zone:1_1.584893E+00,0,14394387.0419656,14394387.0419656,0,13979679.6428899,409139.000524675,5568.39855096845,12.91017748,15.60345135,14.31275298,12.74091642,13.7405473,16.7570268,16.25302072,18.38574918,18.24378698,10.36804503,10.18165132,11.38652343,10.34142719,10.89926088,13.2823156,15.05066,13.50015455,14.28695045,14.3668653,11.54621304,13.11984962,11.14420431,12.21078071,10.49297509,10.65277197,-0.93792,-1.6548,0,-0.0630930628991051,0,0
688,pname:hk_inst:0_ptype:pp_pstyle:m_x:407851.03_y:6428381.70_zone:1_1.995262E+00,0,14387069.4381846,14387069.4381846,0,13972430.8976599,409070.385532676,5568.15499203544,12.90900315,15.60151607,14.30920886,12.74130265,13.74044865,16.73854123,16.2445567,18.37967006,18.23958647,10.3679236,10.18152142,11.38655915,10.34119264,10.89887287,13.28129152,15.04462498,13.49826098,14.28709765,14.36722542,11.54625584,13.12267918,11.14365292,12.20978929,10.49294022,10.65274318,-0.93758,-1.6548,0,-0.0630757421526814,0,0
689,pname:hk_inst:0_ptype:pp_pstyle:m_x:407851.03_y:6428381.70_zone:1_2.511886E+00,0,14380008.0790243,14380008.0790243,0,13965436.0992955,409003.817283236,5568.16244558873,12.90790857,15.59961827,14.30582081,12.74178783,13.74090876,16.72039471,16.23629993,18.37370161,18.23546268,10.3678093,10.18139638,11.38660695,10.34096716,10.89850076,13.28039051,15.03879967,13.49642041,14.287243,14.36758314,11.54630007,13.12552128,11.14312298,12.20885234,10.49290967,10.65272088,-0.93725,-1.6548,0,-0.0630762722200721,0,0
690,pname:hk_inst:0_ptype:pp_pstyle:m_x:407851.03_y:6428381.70_zone:1_3.162278E+00,0,14373283.95647,14373283.95647,0,13958705.6956404,408937.277260676,5640.98356884124,12.90689478,15.59776149,14.30259362,12.74236907,13.74191311,16.70262238,16.22826511,18.36785461,18.23142313,10.36770227,10.18127641,11.3866666,10.34075112,10.89814514,13.27961238,15.03319341,13.49463601,14.2873863,14.36793786,11.5463457,13.12836965,11.14261532,12.20797101,10.49288349,10.65270505,-0.93692,-1.6548,0,-0.0682360883802262,0,0
691,pname:hk_inst:0_ptype:pp_pstyle:m_x:407951.03_y:6428381.70_zone:1_1.258925E+00,0,14397759.5807763,14397759.5807763,0,13983031.1393127,409160.193847075,5568.24761645036,12.91034128,15.60545342,14.31403691,12.73934295,13.7042991,16.77625329,16.25991244,18.39211383,18.24820869,10.36800843,10.18168859,11.38611951,10.34153227,10.89944308,13.28154481,15.05356722,13.50171878,14.28649015,14.36596236,11.54598259,13.11574638,11.14451266,12.21111859,10.49285087,10.65258789,-0.93823,-1.6547,0,-0.0630823292083481,0,0
692,pname:hk_inst:0_ptype:pp_pstyle:m_x:407951.03_y:6428381.70_zone:1_1.584893E+00,0,14386179.5695577,14386179.5695577,0,13971569.4012949,409042.087011235,5568.08125158371,12.90806786,15.60353656,14.30801144,12.73844706,13.66683678,16.75794027,16.24955168,18.38616589,18.244126,10.36773013,10.18146624,11.38579631,10.34116404,10.89883906,13.27857797,15.04407955,13.49943021,14.28635397,14.36582819,11.54585121,13.11741193,11.14370085,12.20941742,10.49266291,10.65235275,-0.93785,-1.6546,0,-0.0630704980002864,0,0
